GeneId	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TYRP1	235.9606586	-6.943261571	1.027259302	-6.759015528	1.39E-11	2.31E-07
SLC45A2	451.4737395	-3.70927303	0.56913676	-6.517366805	7.16E-11	3.96E-07
TYR	427.8443544	-3.648538481	0.555106691	-6.572679705	4.94E-11	3.96E-07
CALB1	39.64260457	2.558141127	0.420228791	6.0874961	1.15E-09	4.76E-06
MFSD12	923.4327387	-0.734116578	0.131604791	-5.578190384	2.43E-08	8.07E-05
SLC6A4	963.5137807	-1.427095953	0.2628989	-5.428307057	5.69E-08	0.000157456
DDC	1333.340087	-2.011970768	0.377215598	-5.333742237	9.62E-08	0.000228235
PMEL	4702.453662	-1.465111667	0.277456794	-5.280503848	1.29E-07	0.000267417
MLANA	1612.53016	-1.286866458	0.256606652	-5.014938025	5.31E-07	0.000978842
LOC122153719	89.20169193	-2.034066601	0.413496216	-4.919190358	8.69E-07	0.00144311
LOC104357634	35.76119953	-1.906804084	0.391532008	-4.870110346	1.12E-06	0.001683787
GPR143	365.4665544	-1.443988312	0.298576371	-4.836244428	1.32E-06	0.001831022
VAT1L	203.927768	-1.147903838	0.248376033	-4.621636901	3.81E-06	0.004863309
SYNGR3	268.2900598	-1.166393412	0.256789536	-4.54221551	5.57E-06	0.006602794
LOC116960911	125.6388174	-1.004540143	0.222480784	-4.515177115	6.33E-06	0.007003732
RASL10B	22.30948967	-1.673865053	0.376178357	-4.449658044	8.60E-06	0.008926464
RAB38	879.2639576	-1.182752821	0.268418369	-4.40637809	1.05E-05	0.010267726
LOC116960306	145.1707849	-0.927752382	0.214049406	-4.334290847	1.46E-05	0.013490598
TBXA2R	156.3447737	-0.753956232	0.17535656	-4.299561026	1.71E-05	0.014957352
SERPINE3	12.25377904	-1.174179259	0.278217259	-4.220368157	2.44E-05	0.020251322
VSTM2L	221.6807752	-0.84095003	0.203811253	-4.126121679	3.69E-05	0.029173747
RAB3C	33.71067387	-1.409601864	0.344802036	-4.088148315	4.35E-05	0.031753092
