GENEID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CALB1	39.8	2.5	0.4	6.1	0	5.97E-06
CDK15	45.6	-1	0.2	-4.1	0	0.031714035
DDC	1376.5	-1.9	0.4	-5.3	0	0.000247076
FOSB	32.5	-1.8	0.4	-4.1	0	0.031714035
GPR143	368.9	-1.4	0.3	-4.8	0	0.002039125
LOC104357634	36.3	-1.9	0.4	-4.8	0	0.002039125
LOC104360559	43.7	-1	0.2	-4	0	0.039999684
LOC104368820	50.5	-2.5	0.6	-4	0	0.034919863
LOC116960306	144.7	-0.9	0.2	-4.3	0	0.014887095
LOC116960911	126.9	-1	0.2	-4.5	0	0.006731941
LOC122152587	128	-4.6	0.8	-6	0	6.10E-06
MFSD12	937.7	-0.7	0.1	-5.6	0	7.58E-05
MLANA	1617	-1.3	0.3	-5	0	0.000857203
PMEL	4817.3	-1.5	0.3	-5.3	0	0.000253857
RAB38	888.3	-1.2	0.3	-4.4	0	0.011821547
RAB3C	34	-1.4	0.3	-4.1	0	0.031714035
RASL10B	24.6	-1.5	0.3	-4.3	0	0.013322418
SLC45A2	456.8	-3.7	0.6	-6.5	0	4.59E-07
SLC6A4	973.7	-1.4	0.3	-5.4	0	0.000155498
SYNGR3	271.7	-1.2	0.3	-4.5	0	0.007293375
TBXA2R	158.8	-0.8	0.2	-4.4	0	0.013070877
TRMT12	416.9	-0.4	0.1	-4.1	0	0.031714035
TYR	436.6	-3.6	0.6	-6.5	0	4.59E-07
TYRP1	237.6	-6.8	1	-6.7	0	4.59E-07
VAT1L	205.8	-1.2	0.2	-4.6	0	0.004748546
VSTM2L	228.3	-0.8	0.2	-4.2	0	0.022359711
LOC116965280	7.412711833	-1.416831182	0.379234552	-3.736028729	0.000186949	0.116670223
ATP6V1C2	66.47677533	-1.108686413	0.297665325	-3.724607205	0.00019562	0.117721063
RETSAT	446.0624222	-0.497810677	0.134109152	-3.711981384	0.000205643	0.119485741
SERPINE3	13.73721236	-1.024997307	0.280370649	-3.655865235	0.000256316	0.143964147
LOC122152802	89467.09809	-0.874520829	0.24171308	-3.618012025	0.000296875	0.158861589
MAJIN	91.34329074	-0.746804468	0.20710869	-3.605857712	0.000311124	0.158861589
TSPAN10	79.7341286	-1.050223203	0.291151019	-3.607142468	0.000309588	0.158861589
GPER1	13.8399962	-2.663617822	0.74201017	-3.589732228	0.000331018	0.164048537
NR4A1	95.47048137	-0.691300571	0.195684131	-3.532737017	0.000411281	0.198002604
RASSF2	302.9169422	-0.3624134	0.103054828	-3.516704732	0.00043694	0.204511981
LOC104368716	4.271697922	-1.398478247	0.401254866	-3.485261775	0.000491656	0.223902707
LOC116960175	50.35122486	1.108654222	0.319735904	3.467406091	0.000525507	0.233021012
QPCT	826.6631784	-0.547585174	0.160209525	-3.417931438	0.00063099	0.271036544
RAPGEF4	192.689006	-0.521479423	0.152809001	-3.412622427	0.00064341	0.271036544
CRIP1	185.9147039	-0.44375112	0.130636375	-3.396841973	0.000681683	0.272344708
GNG2	628.5359328	-0.270678555	0.079809871	-3.391542316	0.000695004	0.272344708
QTRT1	381.3819178	-0.349174949	0.102896188	-3.393468269	0.000690136	0.272344708
PIK3R5	124.874702	-0.441779425	0.130852134	-3.376172858	0.000735017	0.281478194
ATP6V0E2	113.274226	-0.368779306	0.110541468	-3.336117311	0.000849573	0.308563469
FKBP1B	18.40146675	-0.829167944	0.248588408	-3.33550526	0.000851445	0.308563469
LOC116965755	15.14268096	0.780313432	0.234152268	3.332504274	0.000860681	0.308563469
LOC116960201	70.39613452	-0.994916718	0.299903135	-3.317460216	0.000908399	0.318885728
LOC122152795	33465.06111	-0.81600733	0.24693733	-3.304511845	0.00095142	0.327171826
CCDC96	16.24744973	0.759447907	0.230491461	3.294906902	0.000984543	0.331790962
LOC122153344	53.68947453	-0.805525396	0.245457379	-3.281732254	0.001031715	0.340870609
KIT	1034.01798	-0.658324718	0.201889642	-3.260814729	0.001110926	0.35899238
LOC116965930	1.332394293	-2.008778359	0.616910349	-3.256191702	0.001129175	0.35899238
GABRR1	4.24406936	1.523640244	0.468955084	3.249011041	0.00115807	0.361360679
KCND2	75.63192337	-0.712387832	0.219973571	-3.238515555	0.001201535	0.361533205
SEMA6D	2920.402919	0.136402963	0.042100609	3.239928533	0.001195597	0.361533205
EMILIN3	23.14720683	-0.921080184	0.286634317	-3.213433044	0.001311584	0.368336435
LOC116960719	18.31442922	-0.906521123	0.281693468	-3.218111982	0.001290374	0.368336435
LOC122154748	4.085519584	1.143833428	0.354941311	3.222598763	0.001270334	0.368336435
VPS4B	4662.20916	0.156114607	0.048573972	3.213955945	0.001309198	0.368336435
APBA2	77.79298411	-0.488799751	0.153051403	-3.193696627	0.001404636	0.384624426
LOC116962626	2.777820805	2.029527233	0.635911296	3.191525684	0.001415235	0.384624426
BIN2	45.62293505	-0.596520144	0.188088158	-3.171492303	0.001516579	0.405624666
LOC116963251	272.7258424	-1.397706287	0.441690833	-3.164444863	0.001553791	0.409084034
ACOX2	670.7122101	0.263078923	0.083765603	3.140655768	0.0016857	0.41257714
LOC116961950	6.880829057	-0.836149153	0.26616127	-3.141513234	0.001680772	0.41257714
NEURL1	103.2862841	-0.539093704	0.171685956	-3.139998842	0.001689485	0.41257714
NIBAN3	172.005752	-0.452536565	0.14389526	-3.144902516	0.001661422	0.41257714
