	Genes	Module Membership	Gene Significance
1	ADD2	0.618	-0.384
2	AMPD1	0.493	-0.485
3	ANK1	0.649	-0.435
4	ART4	0.762	-0.754
5	CUNH15orf48	0.643	-0.448
6	DMTN	0.884	-0.708
7	GP1BB	0.812	-0.831
8	GP9	0.591	-0.160
9	LOC104355943/ SLC7A2	0.797	-0.857
10	LOC104358558/ CA1	0.559	-0.323
11	LOC104359698/ HBB	0.896	-0.791
12	LOC104360120/ PCTP	0.941	-0.866
13	LOC104360184/ histone H5	0.897	-0.660
14	LOC104368414/ TRIM27	0.781	-0.780
15	LOC104369299/ thaicobrin-like	0.786	-0.225
16	LOC104369464/ MISP	0.696	-0.882
17	LOC116959343/ HBA1	0.919	-0.789
18	LOC116961035/ HBA2	0.874	-0.844
19	LOC116961333/ MENTL	0.527	-0.708
20	LOC116962070 	0.728	-0.434
21	LOC116963251/ HBE1	0.639	-0.901
22	LOC116963252/ HBBL	0.766	-0.727
23	LOC116963855	0.925	-0.910
24	LOC116965363	0.421	-0.033
25	LOC122152617/ TMOD4L	0.705	-0.581
26	LOC122153234/ SLC7A2L	0.815	-1.125
27	LOC122153235/ SLC7A2L	0.659	-0.645
28	LOC122154907	-0.512	1.417
29	NOS2	0.408	-0.264
30	RFESD	0.720	-0.399
31	RHAG	0.891	-0.835
32	RLBP1	0.554	-0.920
33	SLC46A3	0.683	-0.664
34	SLC4A1	0.863	-0.806
35	TAL1	0.778	-0.316
36	TESPA1	0.627	-0.844
37	WDR72	0.554	-0.292
