	Removing   Libraries						
	"1, 2, 5, 22, 36"		"1,3,22,23,32"		"3,21,22,36,43"		
Genes	LFC1	padj1	LFC2	padj2	LFC3	padj3	
CALB1	2.21	0.0019	2.48	0.0003	2.52	0.00017	
CDK15	-1.06	0.0213	NA	NA	NA	NA	
DDC	-1.93	0.0019	-1.89	0.0119	-1.86	0.00608	
FLO11/PTX2/LOC116960306	-1.00	0.0237	-1.06	0.0119	-0.96	0.03508	LOC116960306
FNDC9-L/LOC104357634	-1.94	0.0023	-2.07	0.0029	-1.93	0.01634	LOC104357634
FOSB	NA	NA	-2.10	0.0144	NA	NA	
GPR143	-1.48	0.0096	-1.54	0.0250	-1.39	0.02466	
HBE1/LOC116963251	NA	NA	-1.91	0.0101	NA	NA	LOC116963251
KLRB1/LOC116960911	-0.98	0.0495	-1.05	0.0104	-1.02	0.01798	LOC116960911
MFSD12	-0.73	0.0012	-0.73	0.0026	-0.70	0.00308	
MLANA	-1.27	0.0073	-1.25	0.0156	-1.21	0.02615	
PFDN2/LOC122152587	-4.54	0.0004	-4.71	0.0002	-5.05	0.00002	LOC122152587
PMEL	-1.49	0.0023	-1.51	0.0119	-1.46	0.00356	
RAB38	-1.24	0.0204	NA	NA	NA	NA	
RASL10B	-1.56	0.0204	NA	NA	NA	NA	
SLC28A2/LOC104360559	-1.10	0.0189	NA	NA	NA	NA	LOC104360559
SLC45A2	-3.84	0.0000	-3.64	0.0000	-3.41	0.00017	
SLC6A4	-1.42	0.0022	-1.36	0.0104	-1.35	0.00615	
SORCS2	0.78	0.0113	NA	NA	NA	NA	
SYNGR3	-1.16	0.0204	NA	NA	NA	NA	
TRMT12	-0.46	0.0004	-0.49	0.0000	-0.39	0.02732	
TYR	-3.72	0.0000	-3.56	0.0000	-3.37	0.00017	
TYRP1	-5.98	0.0001	-6.41	0.0001	-6.02	0.00017	
VAT1L	-1.18	0.0136	-1.22	0.0145	-1.15	0.03508	
VIP/LOC104368820	-2.59	0.0189	NA	NA	NA	NA	LOC104368820
							
25 2 new and 3 missing							
							
TBXA2R							
RAB3C							
VSTM2L							
